mode	label	channel	graph	scale	mean_radius	re	im	abs	jacobian
selected_channel	GL06_prob1000	9	4	8.0	1957.2189424459768	-0.00040058180887466723	-0.00020704279674658646	0.00045092405711599456	1.0256035185859069e+43
selected_channel	GL06_prob1000	9	4	4.0	3915.4378848919537	-0.0007997224996956191	-0.00041389168436334827	0.0009004789852653637	2.6288939019144502e+45
selected_channel	GL06_prob1000	9	4	2.0	7831.875769783907	-0.0015980053819857462	-0.000827589347968259	0.0017995903227473577	6.7342578443981054e+47
selected_channel	GL06_prob1000	9	4	1.0	15664.751539567815	-0.003194571896054355	-0.0016549846192459848	0.003597813737396795	1.7245192422561031e+50
selected_channel	GL06_prob1000	9	4	0.5	31330.50307913563	-0.006387705300941405	-0.0033097751326440087	0.007194260937743612	4.415472397453225e+52
selected_channel	GL06_prob1000	9	4	0.25	62662.006158237724	-0.01277397229084951	-0.006619356153251659	0.014387155520497498	1.1304509428405329e+55
selected_channel	GL06_prob1000	9	4	0.125	125325.01231647545	-0.025546506372847506	-0.013238518179229495	0.02877294478220344	2.89406963014054e+57
selected_channel	GL06_prob1000	9	4	0.0625	250651.0246329509	-0.05109157459845244	-0.026476842313277762	0.057544523404329334	7.408965733324158e+59
selected_channel	GL06_prob1000	10	4	16.0	978.1094712229884	6.032916975039584e-05	-0.00015041748721939557	0.00016206489189262772	3.996057410090965e+40
selected_channel	GL06_prob1000	10	4	8.0	1957.2189424459768	0.00012139925874217147	-0.0003011664949571137	0.0003247137781306822	1.0256035185859069e+43
selected_channel	GL06_prob1000	10	4	4.0	3915.4378848919537	0.00024353672209273235	-0.0006026626421874133	0.0006500095347731346	2.6288939019144502e+45
selected_channel	GL06_prob1000	10	4	2.0	7831.875769783907	0.0004878102945067942	-0.00120565400453126	0.001300600039239223	6.7342578443981054e+47
selected_channel	GL06_prob1000	10	4	1.0	15664.751539567815	0.0009763567629275281	-0.0024116362640141677	0.002601780543862709	1.7245192422561031e+50
selected_channel	GL06_prob1000	10	4	0.5	31330.50307913563	0.001953449361342766	-0.004823600548359125	0.005204141298760144	4.415472397453225e+52
selected_channel	GL06_prob1000	10	4	0.25	62662.006158237724	0.003907634389557992	-0.009647529012452917	0.010408862693329038	1.1304509428405329e+55
selected_channel	GL06_prob1000	10	4	0.125	125325.01231647545	0.007816004353881106	-0.019295385866752068	0.020818305401899162	2.89406963014054e+57
selected_channel	GL06_prob1000	10	4	0.0625	250651.0246329509	0.015632744214123244	-0.03859109953990434	0.041637190771748864	7.408965733324158e+59
selected_channel	GL06_prob1000	11	4	16.0	978.1094712229884	6.035946560256032e-05	-0.0001502672930780091	0.00016193679154787198	3.996057410090965e+40
selected_channel	GL06_prob1000	11	4	8.0	1957.2189424459768	0.00012142956101345073	-0.00030101651516353377	0.00032458601431533876	1.0256035185859069e+43
selected_channel	GL06_prob1000	11	4	4.0	3915.4378848919537	0.0002435670273441039	-0.0006025127693609937	0.0006498819385490702	2.6288939019144502e+45
selected_channel	GL06_prob1000	11	4	2.0	7831.875769783907	0.00048784060103463896	-0.001205504185076502	0.001300472526528261	6.7342578443981054e+47
selected_channel	GL06_prob1000	11	4	1.0	15664.751539567815	0.0009763870700786021	-0.002411486470582715	0.002601653072263894	1.7245192422561031e+50
selected_channel	GL06_prob1000	11	4	0.5	31330.50307913563	0.0019534796711711553	-0.0048234507695444385	0.005204013850087046	4.415472397453225e+52
selected_channel	GL06_prob1000	11	4	0.25	62662.006158237724	0.003907664698105801	-0.009647379233509916	0.010408735248241291	1.1304509428405329e+55
selected_channel	GL06_prob1000	11	4	0.125	125325.01231647545	0.007816034618217583	-0.0192952360380968	0.020818177896229178	2.89406963014054e+57
selected_channel	GL06_prob1000	11	4	0.0625	250651.0246329509	0.015632774640946024	-0.03859094985034158	0.041637063457047305	7.408965733324158e+59
selected_channel	GL06_prob1000	12	4	16.0	978.1094712229884	6.035946560256032e-05	-0.0001502672930780091	0.00016193679154787198	3.996057410090965e+40
selected_channel	GL06_prob1000	12	4	8.0	1957.2189424459768	0.00012142956101345073	-0.00030101651516353377	0.00032458601431533876	1.0256035185859069e+43
selected_channel	GL06_prob1000	12	4	4.0	3915.4378848919537	0.0002435670273441039	-0.0006025127693609937	0.0006498819385490702	2.6288939019144502e+45
selected_channel	GL06_prob1000	12	4	2.0	7831.875769783907	0.00048784060103463896	-0.001205504185076502	0.001300472526528261	6.7342578443981054e+47
selected_channel	GL06_prob1000	12	4	1.0	15664.751539567815	0.0009763870700786021	-0.002411486470582715	0.002601653072263894	1.7245192422561031e+50
selected_channel	GL06_prob1000	12	4	0.5	31330.50307913563	0.0019534796711711553	-0.0048234507695444385	0.005204013850087046	4.415472397453225e+52
selected_channel	GL06_prob1000	12	4	0.25	62662.006158237724	0.003907664698105801	-0.009647379233509916	0.010408735248241291	1.1304509428405329e+55
selected_channel	GL06_prob1000	12	4	0.125	125325.01231647545	0.007816034618217583	-0.0192952360380968	0.020818177896229178	2.89406963014054e+57
selected_channel	GL06_prob1000	12	4	0.0625	250651.0246329509	0.015632774640946024	-0.03859094985034158	0.041637063457047305	7.408965733324158e+59
selected_channel	GL06_prob1000	13	4	16.0	978.1094712229884	-0.00020106163539441698	-0.00010356340486831984	0.00022616622218049495	3.996057410090965e+40
selected_channel	GL06_prob1000	13	4	8.0	1957.2189424459768	-0.0004006302462240112	-0.00020698801986823094	0.00045094194144976467	1.0256035185859069e+43
selected_channel	GL06_prob1000	13	4	4.0	3915.4378848919537	-0.0007997708217595641	-0.00041383693692363264	0.0009004967394168084	2.6288939019144502e+45
selected_channel	GL06_prob1000	13	4	2.0	7831.875769783907	-0.0015980536465659586	-0.0008275346152300591	0.0017996080119589155	6.7342578443981054e+47
selected_channel	GL06_prob1000	13	4	1.0	15664.751539567815	-0.003194620131773225	-0.0016549298947802474	0.0035978313944608547	1.7245192422561031e+50
selected_channel	GL06_prob1000	13	4	0.5	31330.50307913563	-0.00638775352070114	-0.0033097204127349733	0.007194278577571512	4.415472397453225e+52
selected_channel	GL06_prob1000	13	4	0.25	62662.006158237724	-0.01277402051078719	-0.006619301432137559	0.01438717315734784	1.1304509428405329e+55
