mode	channel	graph	scale	mean_radius	re	im	abs	jacobian
selected_channel	2	10	0.125	263320.68826519884	0.1278505037031802	0.26317479284469536	0.29258626571663476	2.3967104827345258e+60
selected_channel	2	10	0.0625	526642.3765146042	0.2556987605818283	0.5263492904705701	0.5851712841057357	6.135626670534234e+62
selected_channel	3	10	16.0	2056.2006895537943	0.001001084533689329	0.0020568055881089948	0.0022874919608314188	3.3195220803022064e+43
selected_channel	3	10	8.0	4113.401379107589	0.001999897982590808	0.004112857404861712	0.004573312582089333	8.506464555648617e+45
selected_channel	3	10	4.0	8227.802758215177	0.0039975264668003566	0.008224959457002448	0.009144953576815103	2.1787419990607044e+48
selected_channel	3	10	2.0	16456.605516430354	0.007992784228130875	0.016449162771930648	0.018288235442899536	5.578971358086577e+50
selected_channel	3	10	1.0	32914.21103286071	0.01598330014716314	0.032897569007858354	0.036574799113885885	1.4283948480430382e+53
selected_channel	3	10	0.5	65829.42206563668	0.03196433218545997	0.0657943812700661	0.07314792641471976	3.65691889768933e+55
selected_channel	3	10	0.25	131659.84413192148	0.06392639635419448	0.1315880057182085	0.1462941810180051	9.362004339589753e+57
selected_channel	3	10	0.125	263320.68826519884	0.1278505246898707	0.2631752544211709	0.2925866900648819	2.3967104827345258e+60
selected_channel	3	10	0.0625	526642.3765146042	0.25569878158939074	0.5263497523748045	0.585171708758478	6.135626670534234e+62
selected_channel	4	10	16.0	2056.2006895537943	0.0019197882245349616	-0.0004372303579849584	0.001968948250464383	3.3195220803022064e+43
selected_channel	4	10	8.0	4113.401379107589	0.0038340917767068854	-0.0008765096469631545	0.003933005074167949	8.506464555648617e+45
selected_channel	4	10	4.0	8227.802758215177	0.007662704782173137	-0.0017550649915162918	0.007861125727476005	2.1787419990607044e+48
selected_channel	4	10	2.0	16456.605516430354	0.015319933740955253	-0.0035121740653303577	0.01571737053366238	5.578971358086577e+50
selected_channel	4	10	1.0	32914.21103286071	0.03063439313230541	-0.00702639140616375	0.03142986189561215	1.4283948480430382e+53
selected_channel	4	10	0.5	65829.42206563668	0.06126331264641641	-0.014054825687896113	0.06285484548966538	3.65691889768933e+55
selected_channel	4	10	0.25	131659.84413192148	0.12252115204532087	-0.02811169404712793	0.1257048131167298	9.362004339589753e+57
selected_channel	4	10	0.125	263320.68826519884	0.24503683108255117	-0.0562254306086438	0.2514047486307809	2.3967104827345258e+60
selected_channel	4	10	0.0625	526642.3765146042	0.4900681891108145	-0.11245290384455342	0.5028046196699325	6.135626670534234e+62
selected_channel	5	10	16.0	2056.2006895537943	0.0010003358563236448	0.0020571353000150127	0.0022874609216366115	3.3195220803022064e+43
selected_channel	5	10	8.0	4113.401379107589	0.001999149583673428	0.004113186822554761	0.004573281633044238	8.506464555648617e+45
selected_channel	5	10	4.0	8227.802758215177	0.0039967782071535125	0.008225288727529536	0.009144922672631065	2.1787419990607044e+48
selected_channel	5	10	2.0	16456.605516430354	0.007992036038184646	0.016449491968745573	0.018288204561013287	5.578971358086577e+50
selected_channel	5	10	1.0	32914.21103286071	0.015982551991990137	0.03289789816771945	0.03657476824301566	1.4283948480430382e+53
selected_channel	5	10	0.5	65829.42206563668	0.031963584048516396	0.06579471041983426	0.07314789555726411	3.65691889768933e+55
selected_channel	5	10	0.25	131659.84413192148	0.06392564823059242	0.1315883348583151	0.14629415016495192	9.362004339589753e+57
selected_channel	5	10	0.125	263320.68826519884	0.12784977659372956	0.26317558364791344	0.29258665930538674	2.3967104827345258e+60
selected_channel	5	10	0.0625	526642.3765146042	0.2556980335466216	0.526350081529179	0.5851716779590265	6.135626670534234e+62
selected_channel	6	10	16.0	2056.2006895537943	0.0019196259292231092	-0.00043665669830656167	0.0019686626883043405	3.3195220803022064e+43
selected_channel	6	10	8.0	4113.401379107589	0.003833930195393915	-0.0008759365768510821	0.003932719876856069	8.506464555648617e+45
selected_channel	6	10	4.0	8227.802758215177	0.007662543557283363	-0.0017544922160351113	0.007860840712251621	2.1787419990607044e+48
selected_channel	6	10	2.0	16456.605516430354	0.01531977269440625	-0.003511601436504198	0.015717085609524867	5.578971358086577e+50
selected_channel	6	10	1.0	32914.21103286071	0.030634232173946986	-0.007025818852741105	0.031429577016543205	1.4283948480430382e+53
selected_channel	6	10	0.5	65829.42206563668	0.06126315174150735	-0.014054253163818505	0.06285456064038358	3.65691889768933e+55
selected_channel	6	10	0.25	131659.84413192148	0.12252099115925205	-0.028111121563438382	0.12570452828040815	9.362004339589753e+57
selected_channel	6	10	0.125	263320.68826519884	0.24503667024430287	-0.056224858108552885	0.25140446383018367	2.3967104827345258e+60
selected_channel	6	10	0.0625	526642.3765146042	0.4900680281302816	-0.1124523315038239	0.5028043347626872	6.135626670534234e+62
selected_channel	7	10	16.0	2056.2006895537943	0.0019194399006595057	-0.000436253626755727	0.001968391922128644	3.3195220803022064e+43
selected_channel	7	10	8.0	4113.401379107589	0.003833744479305755	-0.0008755339824342767	0.0039324491715729245	8.506464555648617e+45
selected_channel	7	10	4.0	8227.802758215177	0.007662357997182574	-0.0017540898600189756	0.007860570037472418	2.1787419990607044e+48
selected_channel	7	10	2.0	16456.605516430354	0.015319587212847737	-0.0035111991991412916	0.01571681495049485	5.578971358086577e+50
selected_channel	7	10	1.0	32914.21103286071	0.030634046731762003	-0.007025416674510153	0.03142930636546508	1.4283948480430382e+53
selected_channel	7	10	0.5	65829.42206563668	0.061262966319562594	-0.014053851012284336	0.0628542899931846	3.65691889768933e+55
selected_channel	7	10	0.25	131659.84413192148	0.12252080575484384	-0.028110719395579655	0.12570425763574275	9.362004339589753e+57
selected_channel	7	10	0.125	263320.68826519884	0.24503648475635922	-0.05622445602800452	0.25140419311817075	2.3967104827345258e+60
selected_channel	7	10	0.0625	526642.3765146042	0.49006784258787184	-0.11245192952958846	0.5028040640186381	6.135626670534234e+62
selected_channel	8	10	16.0	2056.2006895537943	0.002222725272208267	0.002239925743853618	0.003155594234639729	3.3195220803022064e+43
selected_channel	8	10	8.0	4113.401379107589	0.0044415847699313775	0.004478079222702388	0.006307207685916581	8.506464555648617e+45
selected_channel	8	10	4.0	8227.802758215177	0.008879306917543137	0.008954385310381929	0.0126104364564718	2.1787419990607044e+48
selected_channel	8	10	2.0	16456.605516430354	0.017754752787837707	0.01790699705176299	0.02521689493115834	5.578971358086577e+50
selected_channel	8	10	1.0	32914.21103286071	0.03550564531521672	0.03581222031832829	0.05042981234724612	1.4283948480430382e+53
selected_channel	8	10	0.5	65829.42206563668	0.07100743076393752	0.07162266673894348	0.10085564741001438	3.65691889768933e+55
selected_channel	8	10	0.25	131659.84413192148	0.14201100186331264	0.14324355956201767	0.2017073176813848	9.362004339589753e+57
selected_channel	8	10	0.125	263320.68826519884	0.2840181441706213	0.28648534512368773	0.4034106582488399	2.3967104827345258e+60
selected_channel	8	10	0.0625	526642.3765146042	0.5680324289509808	0.572968916335956	0.8068173395677307	6.135626670534234e+62
selected_channel	9	10	16.0	2056.2006895537943	0.0022227342530054582	0.002238940903002363	0.003154901571621652	3.3195220803022064e+43
selected_channel	9	10	8.0	4113.401379107589	0.0044415942903889985	0.004477095147794168	0.006306515741898868	8.506464555648617e+45
selected_channel	9	10	4.0	8227.802758215177	0.00887931670739102	0.00895340161849586	0.012609744871813926	2.1787419990607044e+48
selected_channel	9	10	2.0	16456.605516430354	0.017754762711939598	0.01790601355155163	0.025216203526019363	5.578971358086577e+50
selected_channel	9	10	1.0	32914.21103286071	0.035505655306703916	0.035811236914096455	0.05042912103215776	1.4283948480430382e+53
selected_channel	9	10	0.5	65829.42206563668	0.07100744078635335	0.07162168337413038	0.10085495613192076	3.65691889768933e+55
selected_channel	9	10	0.25	131659.84413192148	0.1420110119064629	0.14324257622786943	0.2017066264332794	9.362004339589753e+57
selected_channel	9	10	0.125	263320.68826519884	0.2840181542448081	0.28648436170398534	0.4034099669586356	2.3967104827345258e+60
selected_channel	9	10	0.0625	526642.3765146042	0.5680324389600336	0.5729679333891186	0.8068166485658819	6.135626670534234e+62
