path	radius	relative_radius	raw_abs_weight	bad_channel_probability_ose_alpha1	bad_channel_probability_ose_alpha3	bad_channel_probability_ose_alpha4	bad_channel_probability_jacobian_linear	bad_channel_probability_jacobian_log	bad_channel_weighted_abs_ose_alpha1	bad_channel_weighted_abs_ose_alpha3	bad_channel_weighted_abs_ose_alpha4	bad_channel_weighted_abs_jacobian_linear	bad_channel_weighted_abs_jacobian_log
fixed relative q	5364.876741052671	0.2	25293.21028026658	3.7278124081320086e-05	5.1809657183720695e-14	1.931438829521842e-18	3.899059027472382e-13	3.917267145540314e-35	0.9428834312426984	1.3104325536963715e-09	4.88522884585679e-14	9.861971987703065e-09	9.908026163613079e-31
fixed relative q	5767.7481599273515	0.2	27192.585000538584	3.46743749061636e-05	4.1693763547429136e-14	1.445755319154524e-18	2.925420002049183e-13	4.086613699062644e-37	0.9428858869763959	1.1337612092558239e-09	3.931382440609018e-14	7.954973206799817e-09	1.1112559037612634e-32
fixed relative q	6200.8729076258105	0.2	29234.59185258526	3.2252482808908e-05	3.3553009449608554e-14	1.0822027641867082e-18	2.1945568746030658e-13	3.0595576808749845e-39	0.942888171150948	9.809085366852424e-10	3.163775611273799e-14	6.415697452630576e-09	8.944492004982248e-35
fixed relative q	6666.522835319501	0.2	31429.941689766034	2.9999746899336235e-05	2.700174669777007e-14	8.100698686641425e-19	1.6460400064282047e-13	1.6034240201753395e-41	0.9428902957538773	8.486633242327459e-10	2.5460448736750427e-14	5.173494142106058e-09	5.039552345808116e-37
fixed relative q	7167.1403971497475	0.2	33790.1496890037	2.790435320981192e-05	2.1729625335044938e-14	6.063680607745275e-19	1.2344493800680764e-13	5.726645601660835e-44	0.9428922719343756	7.342472927571356e-10	2.0489267540202178e-14	4.171222933599812e-09	1.935042120959943e-39
fixed relative q	7705.351461530549	0.2	36327.595750861474	2.595531277458889e-05	1.7486891577460683e-14	4.538895211928116e-19	9.25656102601479e-14	1.3542797288312722e-46	0.942894110062436	6.35256728165136e-10	1.648871504144453e-14	3.362686069962448e-09	4.919772652256876e-42
fixed relative q	8283.979084506618	0.2	39055.58943531895	2.414240403015553e-05	1.4072556344685063e-14	3.3975354347783805e-19	6.940222433320764e-14	2.056020462556152e-49	0.942895819783344	5.496119829034126e-10	1.3269274903265229e-14	2.7105447794556604e-09	8.029909105620763e-45
fixed relative q	8906.058317411505	0.2	41988.43977385195	2.2456119235359396e-05	1.1324873897933445e-14	2.5431842958238386e-19	5.202930771410581e-14	1.9382181336625037e-52	0.9428974100683263	4.755137856098464e-10	1.0678434063900532e-14	2.1846294534289424e-09	8.138275537387576e-48
fixed relative q	9574.852126495767	0.2	45141.530323998435	2.0887614631009457e-05	9.11367953417783e-15	1.903670022930084e-19	3.9001112813103806e-14	1.0946965370586437e-55	0.9428988892617068	4.1140544105529245e-10	8.593457806698518e-15	1.7605699167224094e-09	4.941627692320884e-51
fixed relative q	10293.868508027706	0.2	48531.39986009106	1.9428664078162822e-05	7.334223353933114e-15	1.4249693034277535e-19	2.9232326215828327e-14	3.564457397433562e-59	0.9429002651247075	3.5594012625294614e-10	6.915575505300774e-15	1.4186857124209872e-09	1.7298810723910775e-54
fixed relative q	11066.87888863989	0.2	52175.829123400465	1.807161593246918e-05	5.902207992648422e-15	1.0666436359410516e-19	2.1908371755902102e-14	6.420070606924543e-63	0.9429015448762332	3.079525956751925e-10	5.565301608442288e-15	1.1430874611078811e-09	3.349725069470608e-58
fixed relative q	11897.937907435859	0.2	56093.93408671525	1.680935292884132e-05	4.7497952405088785e-15	7.984232663529196e-20	1.6417986674178343e-14	6.118178399439642e-67	0.942902735230759	2.6643470114649883e-10	4.4786702076100566e-15	9.209494623379293e-10	3.431926958689323e-62
fixed relative q	12791.4046836196	0.2	60306.26622255724	1.5635254866448945e-05	3.8223923741316185e-15	5.976501341033557e-20	1.2302554792205707e-14	2.9408952986595277e-71	0.9429038424336037	2.3051421212145401e-10	3.604204809518401e-15	7.419211445163547e-10	1.7735441481362848e-66
