include_integrated_ct	mode	case	radius	original	local_double_uv_ct	subtracted	relative_norm
False	3d_cff_expansion	locked equal	801.8803828262768	975.7928562206945	922162970.2543215	-922161994.4614652	0.0
False	3d_cff_expansion	locked equal	854.0963173770411	1039.3333545653668	982211262.5854454	-982210223.2520908	0.0
False	3d_cff_expansion	locked equal	909.7123897530997	1107.011415126437	1046169715.3965952	-1046168608.3851801	0.0
False	3d_cff_expansion	locked equal	968.9500062613694	1179.096462708787	1114292945.8196201	-1114291766.7231574	0.0
False	3d_cff_expansion	locked equal	1032.0449904927862	1255.8754662314195	1186852150.8703942	-1186850894.994928	0.0
False	3d_cff_expansion	locked equal	1099.2485221306085	1337.6540811441403	1264136187.0779135	-1264134849.4238324	0.0
False	3d_cff_expansion	locked equal	1170.8281368909702	1424.7578662348872	1346452720.415508	-1346451295.657642	0.0
False	3d_cff_expansion	locked equal	1247.0687915764174	1517.5335796717811	1434129451.1120076	-1434127933.578428	0.0
False	3d_cff_expansion	locked equal	1328.2739984823986	1616.3505594394355	1527515418.2188332	-1527513801.8682737	0.0
False	3d_cff_expansion	locked equal	1414.767033672742	1721.60219366499	1626982389.1264443	-1626980667.5242507	0.0
False	3d_cff_expansion	locked equal	1506.89222393424	1833.707486687207	1732926339.561779	-1732924505.8542924	0.0
False	3d_cff_expansion	locked equal	1605.0163175336872	1953.1127271031337	1845769029.9585392	-1845767076.845812	0.0
False	3d_cff_expansion	locked equal	1709.5299442342975	2080.2932644327416	1965959684.475779	-1965957604.1825147	0.0
False	3d_cff_expansion	locked equal	1820.8491703838258	2215.755401474457	2093976779.3489692	-2093974563.5935678	0.0
False	3d_cff_expansion	locked equal	1939.417155265149	2360.038409884982	2230329947.692914	-2230327587.6545043	0.0
False	3d_cff_expansion	locked equal	2065.7059153031832	2513.71667700736	2375562008.339459	-2375559494.6227818	0.0
False	3d_cff_expansion	locked equal	2200.2182031514394	2677.40199249381	2530251126.7868085	-2530248449.384816	0.0
False	3d_cff_expansion	locked equal	2343.4895091387884	2851.7459838262766	2695013116.8630905	-2695010265.117107	0.0
False	3d_cff_expansion	locked equal	2496.0901930441614	3037.442710430471	2870503892.2670646	-2870500854.824354	0.0
False	3d_cff_expansion	locked equal	2658.6277546857405	3235.231426710514	3057422077.7455015	-3057418842.514075	0.0
False	3d_cff_expansion	locked equal	2831.7492523637693	3445.899525003727	3256511790.3022423	-3256508344.402717	0.0
False	3d_cff_expansion	locked equal	3016.143878784795	3670.285670171455	3468565601.5109096	-3468561931.2252393	0.0
False	3d_cff_expansion	locked equal	3212.5457047220125	3909.2831383046255	3694427692.72415	-3694423783.441012	0.0
False	3d_cff_expansion	locked equal	3421.736601334139	4163.843372835336	3934997215.7401953	-3934993051.8968225	0.0
False	3d_cff_expansion	locked equal	3644.549352776552	4434.979772211318	4191231872.3055305	-4191227437.3257585	0.0
False	3d_cff_expansion	locked equal	3881.8709714958864	4723.771724211885	4464151726.703557	-4464147002.931833	0.0
False	3d_cff_expansion	locked equal	4134.646229406207	5031.3689029658835	4754843266.607066	-4754838235.238163	0.0
False	3d_cff_expansion	locked equal	4403.881419004319	5358.995845778031	5064463728.360744	-5064458369.364899	0.0
False	3d_cff_expansion	locked equal	4690.648359397067	5707.956827983748	5394245703.9124365	-5394239995.955608	0.0
False	3d_cff_expansion	locked equal	4996.088663188593	6079.641055239365	5745502047.733428	-5745495968.092373	0.0
False	3d_cff_expansion	locked equal	5321.418281213916	6475.528193917928	6119631103.261929	-6119624627.733735	0.0
False	3d_cff_expansion	locked equal	5667.932343211246	6897.194261627026	6518122269.676185	-6518115372.481923	0.0
False	3d_cff_expansion	locked equal	6037.010313703756	7346.317901298719	6942561931.158404	-6942554584.840503	0.0
False	3d_cff_expansion	locked equal	6430.121483616162	7824.687063828486	7394639772.253759	-7394631947.566695	0.0
False	3d_cff_expansion	locked equal	6848.830819488142	8334.206125866682	7876155504.465751	-7876147170.2596245	0.0
False	3d_cff_expansion	locked equal	7294.805193570227	8876.903471098274	8389026030.866401	-8389017153.96293	0.0
False	3d_cff_expansion	locked equal	7769.820019603901	9454.939565191666	8935293077.24331	-8935283622.303745	0.0
False	3d_cff_expansion	locked equal	8275.766320702956	10070.615556562921	9517131320.16316	-9517121249.547604	0.0
False	3d_cff_expansion	locked equal	8814.658257473113	10726.382437194823	10136857044.309225	-10136846317.926788	0.0
False	3d_cff_expansion	locked equal	9388.641146339076	11424.850799979564	10796937363.557405	-10796925938.706606	0.0
False	3d_cff_expansion	locked equal	10000.0	12168.801231429186	11500000042.5	-11499987873.698769	0.0
False	3d_cff_expansion	locked equal	10651.168624012551	12961.195381126592	12248843957.516161	-12248830996.32078	0.0
False	3d_cff_expansion	locked equal	11344.739305714942	13805.187751984517	13046450239.034483	-13046436433.846731	0.0
False	3d_cff_expansion	locked equal	12083.473134063268	14704.138258249168	13895994139.344763	-13895979435.206505	0.0
False	3d_cff_expansion	locked equal	12870.310991463355	15661.625601241836	14800857673.204596	-14800842011.578995	0.0
False	3d_cff_expansion	locked equal	13708.385261355807	16681.461516086292	15764643081.5621	-15764626400.100584	0.0
False	3d_cff_expansion	locked equal	14601.032298162907	17767.70594613928	16791187171.994877	-16791169404.28893	0.0
False	3d_cff_expansion	locked equal	15551.805709238663	18924.683205531368	17884576592.952484	-17884557668.26928	0.0
False	3d_cff_expansion	locked equal	16564.490501698212	20156.999194162403	19049164102.610237	-19049143945.611042	0.0
False	3d_cff_expansion	locked equal	17643.11815044419	21469.5597336832	20289585897.099537	-20289564427.539803	0.0
False	3d_cff_expansion	locked equal	18791.982647375713	22867.590097458793	21610780067.098103	-21610757199.508003	0.0
False	3d_cff_expansion	locked equal	20015.65759567169	24356.655812261975	23018006256.255825	-23017981899.600014	0.0
False	3d_cff_expansion	locked equal	21319.014417199636	25942.684814507036	24516866599.71484	-24516840657.030025	0.0
False	3d_cff_expansion	locked equal	22707.2417455348	27631.991049229164	26113328026.081512	-26113300394.09046	0.0
False	3d_cff_expansion	locked equal	24185.866081790828	29431.299605754106	27813746011.6317	-27813716580.332092	0.0
False	3d_cff_expansion	locked equal	25760.773795493984	31347.773490124542	29624889881.316036	-29624858533.542545	0.0
False	3d_cff_expansion	locked equal	27438.234558085023	33389.04214086265	31553969757.287117	-31553936368.244976	0.0
False	3d_cff_expansion	locked equal	29224.926302337208	35563.23180158961	33608665262.23017	-33608629698.99837	0.0
False	3d_cff_expansion	locked equal	31127.96180705332	37878.99787141487	35797156091.76464	-35797118212.76677	0.0
False	3d_cff_expansion	locked equal	33154.91701287467	40345.55936188112	38128154577.62447	-38128114232.06511	0.0
False	3d_cff_expansion	locked equal	35313.86118192713	42972.73559763799	40610940371.251144	-40610897398.51555	0.0
False	3d_cff_expansion	locked equal	37613.38902136763	45770.98530694699	43255397385.87193	-43255351614.88663	0.0
False	3d_cff_expansion	locked equal	40062.65489871691	48751.44825763982	46072053144.13283	-46072004392.68457	0.0
False	3d_cff_expansion	locked equal	42671.409285185626	51925.98960427724	49072120687.92331	-49072068761.93371	0.0
False	3d_cff_expansion	locked equal	45450.0375720767	55307.247123057365	52267543217.23913	-52267487909.992004	0.0
False	3d_cff_expansion	locked equal	48409.60141478949	58908.68152251247	55671041635.78716	-55670982727.10564	0.0
False	3d_cff_expansion	locked equal	51561.882769015836	62744.63003028028	59296165192.61073	-59296102447.980705	0.0
False	3d_cff_expansion	locked equal	54919.4307944356	66830.36346927869	63157345421.33956	-63157278590.97609	0.0
False	3d_cff_expansion	locked equal	58495.61181263199	71182.14705049957	67269953591.7923	-67269882409.64525	0.0
False	3d_cff_expansion	locked equal	62304.66251811238	75817.30512444221	71650361902.65054	-71650286085.34541	0.0
False	3d_cff_expansion	locked equal	66361.74665426095	80754.29014895321	76316008658.80438	-76315927904.51424	0.0
False	3d_cff_expansion	locked equal	70683.0153798534	86012.75614803804	81285467692.84418	-81285381680.08803	0.0
False	3d_cff_expansion	locked equal	75285.67156644912	91613.63695407927	86578522307.06165	-86578430693.4247	0.0
False	3d_cff_expansion	locked equal	80188.03828262768	97579.22954494244	92216244030.32188	-92216146451.09235	0.0
False	3d_cff_expansion	locked equal	85409.63173770411	103933.28280773287	98221076503.33577	-98220972570.05296	0.0
False	3d_cff_expansion	locked equal	90971.23897530988	110701.09208256975	104616924826.27818	-104616814125.1861	0.0
False	3d_cff_expansion	locked equal	96895.00062613703	117909.59986275522	111429250724.44377	-111429132814.8439	0.0
False	3d_cff_expansion	locked equal	103204.49904927851	125587.50305221905	118685173910.78831	-118685048323.28526	0.0
False	3d_cff_expansion	locked equal	109924.85221306085	133765.36720723746	126413580048.88625	-126413446283.51904	0.0
False	3d_cff_expansion	locked equal	117082.81368909703	142475.74821720805	134645235746.09152	-134645093270.3433	0.0
False	3d_cff_expansion	locked equal	124706.87915764176	151753.32190889888	143412911034.696	-143412759281.3741	0.0
False	3d_cff_expansion	locked equal	132827.39984823985	161635.0220901187	152751509828.67545	-152751348193.65335	0.0
False	3d_cff_expansion	locked equal	141476.7033672739	172160.18758235703	162698208875.36905	-162698036715.18146	0.0
False	3d_cff_expansion	locked equal	150689.22239342416	183370.71882773063	173292605755.25812	-173292422384.53928	0.0
False	3d_cff_expansion	locked equal	160501.63175336857	195311.24469367808	184576876519.02182	-184576681207.77713	0.0
False	3d_cff_expansion	locked equal	170952.9944234296	208029.30013946042	196595943589.4301	-196595735560.12997	0.0
False	3d_cff_expansion	locked equal	182084.91703838258	221575.51545173893	209397654596.47406	-209397433020.95862	0.0
False	3d_cff_expansion	locked equal	193941.7155265149	236003.81780258514	223032972857.6835	-223032736853.8657	0.0
False	3d_cff_expansion	locked equal	206570.59153031834	251371.6459323142	237556180261.92346	-237555928890.27753	0.0
False	3d_cff_expansion	locked equal	220021.82031514394	267740.1788117909	253025093364.3472	-253024825624.1684	0.0
False	3d_cff_expansion	locked equal	234348.95091387886	285174.5791945076	269501293552.7742	-269501008378.195	0.0
False	3d_cff_expansion	locked equal	249609.01930441588	303744.2530280093	287050372201.78094	-287050068457.5279	0.0
False	3d_cff_expansion	locked equal	265862.7754685743	323523.12575737946	305742191790.45905	-305741868267.3333	0.0
False	3d_cff_expansion	locked equal	283174.92523637664	344589.9366207323	325651164023.3339	-325650819433.3973	0.0
False	3d_cff_expansion	locked equal	301614.3878784795	367028.5521083213	346856546061.66046	-346856179033.10834	0.0
False	3d_cff_expansion	locked equal	321254.5704722012	390928.29983310256	369442756044.3544	-369442365116.05457	0.0
False	3d_cff_expansion	locked equal	342173.66013341385	416384.32414191455	393499709154.668	-393499292770.3439	0.0
False	3d_cff_expansion	locked equal	364454.9352776552	443497.96488293726	419123175570.4696	-419122732072.5047	0.0
False	3d_cff_expansion	locked equal	388187.0971495878	472377.16083729937	446415161723.1208	-446414689345.95996	0.0
False	3d_cff_expansion	locked equal	413464.62294062105	503136.8794208922	475484316382.7422	-475483813245.8628	0.0
False	3d_cff_expansion	locked equal	440388.1419004314	535899.5743670008	506446363186.4612	-506445827286.88684	0.0
False	3d_cff_expansion	locked equal	469064.8359397062	570795.673211819	539424561331.56805	-539423990535.89484	0.0
False	3d_cff_expansion	locked equal	499608.86631885933	607964.0965234637	574550196267.5388	-574549588303.4423	0.0
False	3d_cff_expansion	locked equal	532141.8281213916	647552.8109415721	611963102340.399	-611962454787.5881	0.0
False	3d_cff_expansion	locked equal	566793.2343211246	689719.418229094	651812219470.0435	-651811529750.6252	0.0
False	3d_cff_expansion	locked equal	603701.0313703755	734631.782681291	694256186076.6359	-694255451444.8531	0.0
False	3d_cff_expansion	locked equal	643012.1483616162	782468.6993896435	739463970616.5197	-739463188147.8203	0.0
False	3d_cff_expansion	locked equal	684883.0819488135	833420.6060209979	787615544241.7561	-787614710821.15	0.0
False	3d_cff_expansion	locked equal	729480.5193570234	887690.3409455568	838902597261.1595	-838901709570.8186	0.0
False	3d_cff_expansion	locked equal	776982.0019603893	945493.950731752	893529302254.9946	-893528356761.044	0.0
False	3d_cff_expansion	locked equal	827576.6320702956	1007061.5502226976	951713126881.3536	-951712119819.8035	0.0
False	3d_cff_expansion	locked equal	881465.8257473112	1072638.238618075	1013685699609.89	-1013684626971.6514	0.0
False	3d_cff_expansion	locked equal	938864.1146339076	1142485.0752084285	1079693731829.4465	-1079692589344.3713	0.0
False	3d_cff_expansion	locked equal	1000000.0	1216880.1186462028	1150000000000.4253	-1149998783120.3066	0.0
False	3d_cff_expansion	locked equal	1065116.8624012552	1296119.533890854	1224884391761.8428	-1224883095642.3088	0.0
False	3d_cff_expansion	locked equal	1134473.9305714942	1380518.7712347503	1304645020157.593	-1304643639638.8218	0.0
False	3d_cff_expansion	locked equal	1208347.3134063268	1470413.8221035402	1389599410417.6277	-1389597940003.8057	0.0
False	3d_cff_expansion	locked equal	1287031.0991463328	1566162.556630313	1480085764018.613	-1480084197856.0564	0.0
False	3d_cff_expansion	locked equal	1370838.5261355806	1668146.1483283625	1576464305056.2278	-1576462636910.0793	0.0
False	3d_cff_expansion	locked equal	1460103.2298162908	1776770.5915342032	1679118714289.0254	-1679116937518.4338	0.0
False	3d_cff_expansion	locked equal	1555180.5709238662	1892468.3176616936	1788457656562.7195	-1788455764094.4019	0.0
