include_integrated_ct	mode	delta	abs_subtracted	measure_weighted_delta2_abs_subtracted
True	3d_cff_expansion	2.246282817885163e-05	68328138744.51463	34.47691999054938
True	3d_cff_expansion	2.379956600877962e-05	64497274884.1771	36.53250401399182
True	3d_cff_expansion	2.5215851614781683e-05	60880464997.87348	38.710184495324086
True	3d_cff_expansion	2.6716418796213626e-05	57465823956.11438	41.017210680989926
True	3d_cff_expansion	2.830628305554678e-05	54242223322.7255	43.46134604890618
True	3d_cff_expansion	2.9990758362205816e-05	51199048740.22559	46.050758455172854
True	3d_cff_expansion	3.177547491400375e-05	48326193826.936455	48.79403033459997
True	3d_cff_expansion	3.366639795554073e-05	45614256234.261734	51.70040001090074
True	3d_cff_expansion	3.56698477164641e-05	43054259268.269615	54.77957168380804
True	3d_cff_expansion	3.7792520536232147e-05	40637692350.26983	58.041784131174445
True	3d_cff_expansion	4.004151124598945e-05	38356606457.067375	61.498014868857624
True	3d_cff_expansion	4.242433688236216e-05	36203384791.74595	65.15973385931277
True	3d_cff_expansion	4.4948961812434605e-05	34170906353.18384	69.03921247537872
True	3d_cff_expansion	4.762382435388603e-05	32252424586.53807	73.14942286811893
True	3d_cff_expansion	5.045786497926109e-05	30441563215.30699	77.50410238893191
True	3d_cff_expansion	5.346055619864554e-05	28732298227.103874	82.11780101880574
True	3d_cff_expansion	5.6641934220625944e-05	27118927057.39678	87.00588994521912
True	3d_cff_expansion	6.0012632497358884e-05	25596097375.724964	92.18475575313441
True	3d_cff_expansion	6.35839172658688e-05	24158725041.56077	97.6716606145227
True	3d_cff_expansion	6.73677252043687e-05	22802036289.200565	103.48499861810207
True	3d_cff_expansion	7.137670332946767e-05	21521491677.631886	109.6441184577443
True	3d_cff_expansion	7.562425126761532e-05	20312836064.764034	116.16966561551881
True	3d_cff_expansion	8.012456604207364e-05	19172022934.602192	123.08335355044137
True	3d_cff_expansion	8.489268952511044e-05	18095261314.355724	130.40836348845775
True	3d_cff_expansion	8.994455871402163e-05	17078953181.963297	138.16913502713618
True	3d_cff_expansion	9.529705899902193e-05	16119705370.066858	146.39157910585683
True	3d_cff_expansion	0.0001009680806010482	15214318745.531342	155.10318337846056
True	3d_cff_expansion	0.00010697657836811517	14359770033.67265	164.3330405338946
True	3d_cff_expansion	0.00011334263513008393	13553205726.683655	174.11197485058167
True	3d_cff_expansion	0.00012008752882360164	12791931959.359589	184.47263727898073
True	3d_cff_expansion	0.0001272338036115737	12073408732.409462	195.44966229507529
True	3d_cff_expansion	0.00013480534523487416	11395236019.792828	207.07971124409295
True	3d_cff_expansion	0.00014282746084815284	10755145801.886936	219.4015711327737
True	3d_cff_expansion	0.00015132696360658268	10151003401.528114	232.45645437543587
True	3d_cff_expansion	0.0001603322622862701	9580788831.483627	246.2879189245343
True	3d_cff_expansion	0.00016987345623787494	9042597618.56613	260.94215930911184
True	3d_cff_expansion	0.00017998243599081504	8534631343.555326	276.46809332048764
True	3d_cff_expansion	0.00019069298984431538	8055193513.826062	292.9175778080175
True	3d_cff_expansion	0.00020204091680157044	7602681638.201958	310.34550956954695
True	3d_cff_expansion	0.00021406414622449164	7175584172.407261	328.81008496421447
True	3d_cff_expansion	0.00022680286460897883	6772473872.050066	348.3729365418357
True	3d_cff_expansion	0.000240299649904443	6392003141.7971525	369.0993292086017
True	3d_cff_expansion	0.00025459961382653484	6032901106.81066	391.0584616028217
True	3d_cff_expansion	0.00026975055263874566	5693967720.148933	414.3236146798816
True	3d_cff_expansion	0.00028580310690685354	5374070580.236099	438.9724423760189
True	3d_cff_expansion	0.00030281093076017573	5072140214.590438	465.087156945069
True	3d_cff_expansion	0.0003208308712253716	4787167329.365471	492.75485186800137
True	3d_cff_expansion	0.0003399231582322001	4518200270.615167	522.067891144211
True	3d_cff_expansion	0.00036015160592630627	4264339553.634631	553.1239835507919
True	3d_cff_expansion	0.00038158382596190565	4024737019.680954	586.026728779596
True	3d_cff_expansion	0.00040429145348728406	3798591872.9067307	620.8858409815324
True	3d_cff_expansion	0.00042835038657843596	3585148309.1270566	657.8175448094258
True	3d_cff_expansion	0.0004538410399211335	3383692942.1491923	696.9449521001886
True	3d_cff_expansion	0.0004808486135893327	3193552399.0251837	738.3984608417678
True	3d_cff_expansion	0.0005094633778182846	3014091333.29318	782.3162469049372
True	3d_cff_expansion	0.000539780974724171	2844709716.818842	828.844581494182
True	3d_cff_expansion	0.000571902737978743	2684841658.525178	878.1385223045636
True	3d_cff_expansion	0.0006059360315074416	2533952823.9488397	930.3622527359871
True	3d_cff_expansion	0.0006419946083430621	2391538747.6823883	985.6896201155641
True	3d_cff_expansion	0.0006801989908343965	2257123532.1037755	1044.3048503980867
True	3d_cff_expansion	0.0007206768734806797	2130257878.806955	1106.4030180614443
True	3d_cff_expansion	0.0007635635497382513	2010517788.850702	1172.1907679909657
True	3d_cff_expansion	0.0008090023642260101	1897503081.4383092	1241.8869728055258
True	3d_cff_expansion	0.0008571451918411112	1790836006.7735875	1315.7234174185737
True	3d_cff_expansion	0.0009081529453863058	1690159974.191574	1393.9455324396274
True	3d_cff_expansion	0.0009621961134056091	1595138574.2122786	1476.8133652070746
True	3d_cff_expansion	0.0010194553300259764	1505454188.8965416	1564.6022343284235
True	3d_cff_expansion	0.0010801219787096212	1420807055.1571147	1657.6037160113815
True	3d_cff_expansion	0.00114439883193495	1340914240.8210092	1756.1265742460748
True	3d_cff_expansion	0.0012125007289442108	1265508735.7959163	1860.497814387409
True	3d_cff_expansion	0.0012846552938231323	1194338497.0917602	1971.0636684213953
True	3d_cff_expansion	0.0013611036963126905	1127165627.629115	2088.190729962461
True	3d_cff_expansion	0.0014421014578959352	1063765632.5763069	2212.267234453987
True	3d_cff_expansion	0.0015279193058541326	1003926598.4610432	2343.7041961842874
True	3d_cff_expansion	0.0016188440781468522	947448540.1712463	2482.9368429935294
True	3d_cff_expansion	0.001715179682140439	894142643.7831004	2630.4257951507834
True	3d_cff_expansion	0.001817248110389361	843830780.2044716	2786.6589164602515
True	3d_cff_expansion	0.001925390516865572	796344762.7525437	2952.1524792537557
True	3d_cff_expansion	0.002039968357233062	751525880.39855	3127.4530807572937
True	3d_cff_expansion	0.0021613645969789036	709224337.8761433	3313.1393107389927
True	3d_cff_expansion	0.002289984991438802	669298739.1701671	3509.8235111662607
True	3d_cff_expansion	0.0024262594419955466	631615644.3035954	3718.1538439951437
True	3d_cff_expansion	0.0025706434329833315	596049091.1074212	3938.8161693181114
True	3d_cff_expansion	0.0027236195541006166	562480208.4551204	4172.536389229217
True	3d_cff_expansion	0.002885699113420118	530796796.3746754	4420.08259787218
True	3d_cff_expansion	0.003057423846387185	500892954.7631602	4682.267486996514
True	3d_cff_expansion	0.003239367726518784	472668733.20344275	4959.950896368103
True	3d_cff_expansion	0.003432138883855167	446029795.89180857	5254.042466870804
True	3d_cff_expansion	0.00363638163757642	420887104.0988857	5565.504412195375
True	3d_cff_expansion	0.0038527786495778037	397156619.13033366	5895.354458318247
True	3d_cff_expansion	0.004082053206201907	374759025.1037108	6244.668988986672
True	3d_cff_expansion	0.0043249716357541676	353619461.8853739	6614.586286222234
True	3d_cff_expansion	0.004582345869882053	333667271.3176992	7006.309884696868
True	3d_cff_expansion	0.004855036157379002	314835765.5255806	7421.1122356157075
True	3d_cff_expansion	0.005143953939483884	297062001.56055146	7860.3384306096905
True	3d_cff_expansion	0.005450064896286246	280286572.88447714	8325.410198460162
True	3d_cff_expansion	0.005774392174419787	264453408.0577333	8817.82997494975
True	3d_cff_expansion	0.006118019806832271	249509587.62191522	9339.18537230285
True	3d_cff_expansion	0.00648209633606206	235405162.2542401	9891.153568405365
True	3d_cff_expansion	0.0068678386531318995	222092990.15078634	10475.506209692754
True	3d_cff_expansion	0.007276536064890876	209528575.90893465	11094.114239788254
True	3d_cff_expansion	0.007709554603399424	197669924.21823522	11748.953181315184
True	3d_cff_expansion	0.008168341591761033	186477398.56464586	12442.10850453483
True	3d_cff_expansion	0.008654430481661424	175913589.70029932	13175.781325831716
True	3d_cff_expansion	0.009169445978784383	165943188.02831006	13952.2940876308
True	3d_cff_expansion	0.009715109473235286	156532869.0915706	14774.096895084203
True	3d_cff_expansion	0.010293244793123098	147651179.55439615	15643.773642837305
True	3d_cff_expansion	0.01090578430053167	139268432.67071587	16564.048581496743
