probe	source	graph_group	lmb_channel	event_graph_id	event_graph_name	event_weight_re	event_weight_im	event_weight_abs	rank	weight_key	kind	esurface_id	edge_ids	raw_re	raw_im	raw_abs	weighted_re	weighted_im	weighted_abs
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	2	GL05_isr_p2_ct	-0.25172814607899274	0.47143821075151665	0.5344352590211073	5	threshold_counterterm:24:0	threshold_counterterm	24	9,11,14	2.949514527783168e-26	-3.996274774982248e-25	4.0071446737864926e-25	1.2457460423691121e-05	-0.0001687851827227762	0.00016924427974666906
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	2	GL05_isr_p2_ct	-0.25172814607899274	0.47143821075151665	0.5344352590211073	6	threshold_counterterm:32:0	threshold_counterterm	32	11,15	1.1894461864341175e-26	1.1328046050801106e-26	1.6425676557491843e-26	5.023700901975231e-06	4.7844716147802455e-06	6.937487973693694e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	2	GL05_isr_p2_ct	-0.25172814607899274	0.47143821075151665	0.5344352590211073	7	threshold_counterterm:4:0	threshold_counterterm	4	9,12,15	1.2158312993013424e-27	-3.519474251067928e-27	3.723566133734024e-27	5.135140088397926e-07	-1.486472122170941e-06	1.57267161456742e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	2	GL05_isr_p2_ct	-0.25172814607899274	0.47143821075151665	0.5344352590211073	8	threshold_counterterm:12:0	threshold_counterterm	12	11,13	-9.719845940908204e-28	-3.297579005763192e-27	3.437845451790999e-27	-4.105238166914369e-07	-1.392753267405151e-06	1.4519956845454562e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	1	GL05_isr_p1_ct	-0.2674277490265166	0.4528335601553715	0.5259047766966735	1	threshold_counterterm:33:0	threshold_counterterm	33	9,12,15	-4.1795487704830983e-22	6.466926608033486e-22	7.699984914176018e-22	-0.1765258753830004	0.2731347193703826	0.3252137137410909
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	1	GL05_isr_p1_ct	-0.2674277490265166	0.4528335601553715	0.5259047766966735	2	threshold_counterterm:20:0	threshold_counterterm	20	13,15	-2.152630294089287e-22	4.258592797047641e-22	4.771732368238708e-22	-0.09091769660009369	0.17986434964166786	0.20153712270221294
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	1	GL05_isr_p1_ct	-0.2674277490265166	0.4528335601553715	0.5259047766966735	3	threshold_counterterm:11:0	threshold_counterterm	11	9,11,14	-3.0272907796353292e-25	6.848003630842936e-25	7.487298791453638e-25	-0.00012785953323191955	0.00028922974750233337	0.0003162307813584058
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	1	GL05_isr_p1_ct	-0.2674277490265166	0.4528335601553715	0.5259047766966735	4	original	original	None		2.961760713495217e-25	-6.842966390721666e-25	7.456421095173609e-25	0.00012509182960539816	-0.00028901699649241545	0.00031492664240346965
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	1	GL05_isr_p1_ct	-0.2674277490265166	0.4528335601553715	0.5259047766966735	5	threshold_counterterm:31:0	threshold_counterterm	31	9,10,15	3.073125204029145e-26	-3.9262924491861457e-25	3.93830082417945e-25	1.297953790212867e-05	-0.00016582943510481805	0.00016633661638778112
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	1	GL05_isr_p1_ct	-0.2674277490265166	0.4528335601553715	0.5259047766966735	6	threshold_counterterm:26:0	threshold_counterterm	26	9,14,16	1.2937127468623744e-26	1.2467997948774532e-26	1.7967199002350503e-26	5.464077288602372e-06	5.265937480438782e-06	7.5885596896716966e-06
