probe	row_index	signed_side_fraction	t	event_graph_id	event_graph_name	term_key	weighted_re	weighted_im	weighted_abs	raw_re	raw_im	raw_abs
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:28:0	1.477575677611832e-74	6.664218468491463e-74	6.826055792245824e-74	2.724694877684864e-94	1.2289023296742275e-93	1.2587456286492379e-93
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:29:0	3.465739312689143e-28	1.6110033868962056e-27	1.647860856512538e-27	6.390929612443122e-48	2.970739666819424e-47	3.0387059714829936e-47
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:30:0	1.3703573098555498e-07	1.4301543293594114e-07	1.9807121351826993e-07	2.526980918362355e-27	2.6372484567440988e-27	3.652493940360008e-27
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:31:0	0.02450979487477333	0.4117402221843002	0.41246907836731267	4.519681364567344e-22	7.592616008241519e-21	7.60605633985034e-21
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:32:0	4.72463155167465e-19	2.7800578103686606e-18	2.8199189459951836e-18	8.712365520663417e-39	5.126511887243745e-38	5.200017044174747e-38
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:33:0	1.1468969555791949e-07	1.117096011519872e-07	1.6010234619362802e-07	2.1149131698958155e-27	2.059959314835174e-27	2.952336379035249e-27
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	1	GL05_isr_p1_ct	original	-1.8539597978046867e-05	1.7093544956508285e-05	2.5217176137858286e-05	-3.4187587418037806e-25	3.15210212851849e-25	4.650124639541457e-25
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	1	GL05_isr_p1_ct	threshold_counterterm:1:0	2.5303778395516327e-07	2.0795507538939403e-07	3.275262332839134e-07	4.666094361526743e-27	3.834755385374613e-27	6.039684218262678e-27
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	1	GL05_isr_p1_ct	threshold_counterterm:3:0	-3.773768815060776e-08	3.858232022560942e-09	3.793440471778141e-08	-6.958945464358283e-28	7.114698210099536e-29	6.995220602820232e-28
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	1	GL05_isr_p1_ct	threshold_counterterm:6:0	2.0993313075244512e-27	4.1074952959788785e-27	4.612885164974404e-27	3.871231333085078e-47	7.574347333029424e-47	8.506301755500425e-47
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	1	GL05_isr_p1_ct	threshold_counterterm:8:0	1.2046638695692864e-06	-1.6647227913196087e-06	2.0548763978849426e-06	2.221437131431824e-26	-3.06979989654742e-26	3.789255115949123e-26
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	1	GL05_isr_p1_ct	threshold_counterterm:11:0	2.1416245344151057e-06	3.1883254112073566e-06	3.840829932990952e-06	3.9492213409173557e-26	5.879369867775636e-26	7.082608223081746e-26
