point_index	source	scan_row_index	x0	x1	x2	x3	x4	x5	dx2_from_root	signed_side_fraction	t	total_re	total_im	total_abs	dominant_re	dominant_im	dominant_abs	other_re	other_im	other_abs	scan_re	scan_im	scan_abs	is_nan
39	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181218126105	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.7074668345884447e-09			351.12237096064894	898.5344861324312	964.7026185090925	351.12243632502725	898.5344289930176	964.7025890794691	-6.536437831528019e-05	5.71394135704395e-05	8.681828457022632e-05				False
40	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181222743463	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.2457309628288726e-09			481.32590227509496	1231.7298248700217	1322.434492016625	481.3259676394731	1231.7297677306087	1322.4344625870026	-6.536437814474994e-05	5.713941300200531e-05	8.681828406772157e-05				False
41	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181226112189	0.7527842995682404	0.5585112730395129	0.25621170988207465	-9.088584329575156e-10			659.8422941286898	1688.5594442619713	1812.9050857469924	659.8423594930678	1688.5593871225583	1812.9050563173705	-6.536437797421968e-05	5.713941300200531e-05	8.681828393933151e-05				False
42	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181228569938	0.7527842995682404	0.5585112730395129	0.25621170988207465	-6.630834770149363e-10			904.6206092409958	2314.9556164402698	2485.429128491074	904.6206746053737	2314.955559300857	2485.429099061453	-6.536437786053284e-05	5.713941254725796e-05	8.681828355444638e-05				False
43	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181230363059	0.7527842995682404	0.5585112730395129	0.25621170988207465	-4.837713563077273e-10			1240.31218330501	3174.001961823066	3407.7357241593004	1240.3122486693878	3174.0019046836533	3407.7356947296794	-6.536437786053284e-05	5.713941254725796e-05	8.681828355444638e-05				False
44	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181231671282	0.7527842995682404	0.5585112730395129	0.25621170988207465	-3.5294911437944165e-10			1700.772194918837	4352.335053068156	4672.84137042708	1700.7722602832148	4352.334995928744	4672.84134099746	-6.536437786053284e-05	5.713941209251061e-05	8.681828325515464e-05				False
45	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181232625733	0.7527842995682404	0.5585112730395129	0.25621170988207465	-2.575040181085342e-10			2332.552068392063	5969.081594612495	6408.645272981002	2332.552133756441	5969.081537473082	6408.645243551381	-6.536437786053284e-05	5.713941300200531e-05	8.681828385373814e-05				False
46	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181233322079	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.8786938671411235e-10			3199.6889850550856	8188.114947722182	8791.088442177923	3199.6890504194635	8188.1148905827695	8791.088412748304	-6.536437786053284e-05	5.713941209251061e-05	8.681828325515464e-05				False
47	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181233830118	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.3706547008496273e-10			4390.539596100366	11235.542837944564	12062.92919684985	4390.539661464743	11235.542780805152	12062.929167420229	-6.536437740578549e-05	5.713941209251061e-05	8.681828291278116e-05				False
48	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181234200773	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.000000082740371e-10			6027.127418620635	15423.627664779977	16559.42496773529	6027.127483985012	15423.627607640565	16559.42493830567	-6.536437740578549e-05	5.713941209251061e-05	8.681828291278116e-05				False
