point_index	source	x2	dx2_from_root	event_graph_id	event_graph_name	term_key	edge_ids	weighted_re	weighted_im	weighted_abs	pole_scaled_re	pole_scaled_im	pole_scaled_abs	raw_re	raw_im	raw_abs
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:15:0	10,12	2.117950456648207e-06	-1.1936914693115838e-06	2.4311753249660122e-06	-1.1600492403694836e-13	6.538117442094831e-14	1.3316095662573403e-13	3.9055656152562244e-26	-2.2012036887519939e-26	4.4831618813564066e-26
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:17:0	9,13,14	1.9077414730405797e-08	-1.2644175144320648e-08	2.288717802342963e-08	-1.0449130382985522e-15	6.925499945112369e-16	1.2535823676583146e-15	3.5179338008203148e-28	-2.3316246856447894e-28	4.220465839414203e-28
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:19:0	11,13	4.656230469662691e-18	5.334832899327954e-18	7.081025649605228e-18	-2.550322460264534e-25	-2.9220083184370086e-25	3.8784374771736127e-25	8.586231827066541e-38	9.837595525122204e-38	1.3057628525273447e-37
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:24:0	9,11,14	3.992328896003327e-07	2.8868066697618286e-07	4.926696942419386e-07	-2.1866885925382437e-14	-1.5811691316191218e-14	2.6984630483892222e-14	7.361976958469681e-27	5.3233600587413794e-27	9.084980300035962e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:27:0	12,14	-1.395039565112509e-05	1.4281289062334056e-06	1.4023305280701452e-05	7.640946381508979e-13	-7.82218416689311e-14	7.680880630273009e-13	-2.572495754243414e-25	2.6335135143650445e-26	2.585940513605026e-25
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:29:0	13,15	9.058751941476637e-74	1.6520992025191834e-73	1.8841554188379972e-73	-4.961682779415006e-81	-9.0489200013225e-81	1.031994424373881e-80	1.6704616478969549e-93	3.0465216115406505e-93	3.474440393312116e-93
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:30:0	9,14,15	2.0047197024809137e-27	3.981504673979224e-27	4.457721453212792e-27	-1.0980302021309275e-34	-2.1807599219703197e-34	2.441594594125667e-34	3.696764630947475e-47	7.34201676099833e-47	8.220175110993964e-47
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:31:0	9,10,15	3.773340338676506e-18	5.071499130940676e-18	6.321249935464928e-18	-2.0667436198977512e-25	-2.777774473390068e-25	3.462291180043286e-25	6.958155340761151e-38	9.351999977822757e-38	1.1656578800461129e-37
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:32:0	11,15	3.2066265969159454e-07	3.91692825758853e-07	5.062092562087763e-07	-1.7563417199984074e-14	-2.145389962042947e-14	2.7726222834424455e-14	5.9131178156549254e-27	7.222935868137835e-27	9.334653976288983e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:33:0	9,12,15	1.8735364353013123e-08	2.361418320668949e-08	3.0143714534862e-08	-1.026178167555144e-15	-1.293402081473526e-15	1.651039241183226e-15	3.454858661907746e-28	4.354527825469639e-28	5.558593433284028e-28
