R	epsilon	W_toy
1.7398280529303658e+04	0.0000000000000000e+00	3.0270016537634677e+08
2.0127853758499383e+04	0.0000000000000000e+00	4.0513049692353773e+08
2.3285662984981966e+04	0.0000000000000000e+00	5.4222210065015924e+08
2.6938893095901753e+04	0.0000000000000000e+00	7.2570396123242307e+08
3.1165269449294301e+04	0.0000000000000000e+00	9.7127401984711671e+08
3.6054711542505058e+04	0.0000000000000000e+00	1.2999422244132473e+09
4.1711246120565243e+04	0.0000000000000000e+00	1.7398280529303691e+09
4.8255220427412787e+04	0.0000000000000000e+00	2.3285662984981961e+09
5.5825862688626999e+04	0.0000000000000000e+00	3.1165269449294362e+09
6.4584244301969913e+04	0.0000000000000000e+00	4.1711246120565333e+09
7.4716706758680826e+04	0.0000000000000000e+00	5.5825862688627014e+09
8.6438826205982783e+04	0.0000000000000000e+00	7.4716706758680964e+09
1.0000000000000000e+05	0.0000000000000000e+00	1.0000000000000000e+10
