eta	theta	x4	x5	re_lmb_off	im_lmb_off	abs_lmb_off	re_lmb_on	im_lmb_on	abs_lmb_on
6.3095734448019997e-02	1.7772839832174096e-03	6.3016441227596065e-01	6.0450628834572562e-01	-3.2355720899463269e-01	2.0857035712718535e+00	2.1106512394776549e+00	-2.0040796899428852e+01	1.4116967446043623e+02	1.4258509924823736e+02
7.1968567300119995e-02	2.0272144080196431e-03	6.3014145384820308e-01	6.0460716590190600e-01	-3.3142080738860275e-01	2.1407723352096877e+00	2.1662746692811723e+00	-2.1962488635922121e+01	1.4542562188588064e+02	1.4707468309664358e+02
8.2089141596380005e-02	2.3122912797774800e-03	6.3011526441868193e-01	6.0472222137913323e-01	-3.4010925852010648e-01	2.2020448564872925e+00	2.2281552588886702e+00	-2.4144903459800620e+01	1.5013825016487934e+02	1.5206732234656789e+02
9.3632920882390003e-02	2.6374570649182268e-03	6.3008538887912535e-01	6.0485344613353242e-01	-3.4964260765830252e-01	2.2698418113624403e+00	2.2966131153721174e+00	-2.6615851706378052e+01	1.5531798842529599e+02	1.5758198212529339e+02
1.0680004325146000e-01	3.0083492638336819e-03	6.3005130789433428e-01	6.0500311082362002e-01	-3.6001118701572565e-01	2.3443310020502102e+00	2.3718127881327846e+00	-2.9401674623114321e+01	1.6095643935815747e+02	1.6361978438287866e+02
1.2181879120101000e-01	3.4313981499783483e-03	6.3001242880089936e-01	6.0517380446416957e-01	-3.7116121713595368e-01	2.4254388698206690e+00	2.4536736458508099e+00	-3.2524322483914069e+01	1.6701664423057349e+02	1.7015402141318788e+02
1.3894954943731000e-01	3.9139382535225611e-03	6.2996807520471687e-01	6.0536847890359324e-01	-3.8297602271867259e-01	2.5127316092899461e+00	2.5417495498774572e+00	-3.5996897341005827e+01	1.7342013365206435e+02	1.7711668293551224e+02
1.5848931924611001e-01	4.4643355223830256e-03	6.2991747508767604e-01	6.0559049946628829e-01	-3.9525245497088807e-01	2.6052610944785153e+00	2.6350730300247669e+00	-3.9817160196345611e+01	1.8003042225804955e+02	1.8438101633441843e+02
1.8077686769633999e-01	5.0921323652648315e-03	6.2985974720512361e-01	6.0584370259897846e-01	-4.0767283496058299e-01	2.7013744048499020e+00	2.7319628137189129e+00	-4.3958530410565942e+01	1.8663320321144101e+02	1.9174020167095810e+02
2.0619860095022000e-01	5.8082130913710978e-03	6.2979388552220406e-01	6.0613246146920230e-01	-4.1977415748148600e-01	2.7984936858056826e+00	2.8298016278148483e+00	-4.8358345461140274e+01	1.9291473173409068e+02	1.9888344148212832e+02
