profile,precision_mode,point_id,soft_family,ray_sign,lambda_GeV,radial_measure_power,total_re,total_im,cut0_re,cut0_im,cut1_re,cut1_im,cut2_re,cut2_im,cut3_re,cut3_im,cut4_re,cut4_im,cut5_re,cut5_im,finite,is_nan,final_status,final_precision,estimated_relative_accuracy,precision_history_json,cut_sum_residual_re,cut_sum_residual_im,source_result,source_result_sha256
candidate,arb,22,both,1,0.01,5,-2.274996495172053e-32,-4.140176550949706e-31,3.626163493560505e-25,-2.8014709923099345e-16,9.041160176852796e-25,-2.6450302862759635e-16,2.236156e-318,2.291552893245844e-16,-1.8846129928310314e-24,1.455913336649959e-15,6.178046953685427e-25,7.104717161172144e-16,7.590767119361565e-29,-1.8508902142331684e-15,True,False,Stable,Arb,4.4563643810271505e-281,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":4.4563643810271505e-281}]",-4.4782288523144097e-41,1.9587202484464656e-32,evaluation/candidate-arb-point-00022.json,2d2d049d079207bbc4a00e5e604f8eb8203682406e3bbecdd23227ead0166a4e
candidate,arb,23,both,1,0.001,5,-2.275693259143654e-31,-4.714962668566975e-29,3.626436552199065e-22,-2.8018261546243725e-11,9.040746778995442e-22,-2.6450508902979843e-11,2.6990005183e-313,2.2918326827594506e-11,-1.884564573975965e-21,1.4560275224667095e-10,6.178386494082054e-22,7.105447698843931e-11,7.59122073987186e-27,-1.8510678561348118e-10,True,False,Stable,Arb,8.94830609595238e-277,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":8.94830609595238e-277}]",1.051327035887619e-37,1.2971846697826726e-26,evaluation/candidate-arb-point-00023.json,4c368259f643518076fb0e47a7f8eab401b94e0500aed66df5e0cd2c89cf85b9
candidate-off,arb,0,q13,-1,1.0,2,0.0,-5.1997523422955585e-34,0.0,-9.072259831116086e-31,0.0,2.6340088635027745e-30,0.0,7.195480167956406e-35,0.0,-1.2290088718614108e-30,0.0,-4.9829290486257225e-31,0.0,-7.303370309212342e-35,True,False,Stable,Arb,7.202692150736031e-296,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":7.202692150736031e-296}]",0.0,-1.631883221393891e-46,evaluation/candidate-off-arb-point-00000.json,d70bf7a717d0e3d0c778316888fafa34c9da155f161d19ca33491f041b2f00bb
candidate-off,arb,1,q13,-1,0.1,2,-0.0,-2.8804367724349864e-33,0.0,-8.498250709553077e-28,0.0,2.5798277243071455e-27,0.0,7.279342825508582e-33,0.0,-1.2343464438773985e-27,0.0,-4.9565907908655895e-28,0.0,-7.290167478281753e-33,True,False,Stable,Arb,2.195864251749329e-292,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.195864251749329e-292}]",0.0,5.351892738406179e-44,evaluation/candidate-off-arb-point-00001.json,e7e0d1774d10f0e1b4ae7e2b5c219c586d6df1fb53ccec29d93b6bdc86416308
candidate-off,arb,2,q13,-1,0.01,2,-0.0,-2.6684991065798204e-32,0.0,-8.44542956037323e-25,0.0,2.5748229539724346e-24,0.0,7.28776961929815e-31,0.0,-1.2348826170388074e-24,0.0,-4.953974074730129e-25,0.0,-7.28885244093365e-31,True,False,Stable,Arb,5.675463252866147e-289,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":5.675463252866147e-289}]",0.0,1.0351927095771373e-40,evaluation/candidate-off-arb-point-00002.json,f90c41c46d5cf6eeda10a7908f98b26e6915d4b864e0cc15f1af6cadb59ecbfd
candidate-off,arb,3,q13,-1,0.001,2,-5e-323,-2.647484749713018e-31,-1e-323,-8.440189551109183e-22,-4.4e-323,2.5743264710402983e-21,0.0,7.288612704193979e-29,1e-323,-1.2349362588975335e-21,-5e-324,-4.953712572955123e-22,0.0,-7.288720989921079e-29,True,False,Stable,Arb,3.791783443011247e-286,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.791783443011247e-286}]",0.0,-2.102173893647431e-37,evaluation/candidate-off-arb-point-00003.json,2b7b6c014581389df12adcad5718ac159057ef180b5ddc19d0b12362c2ac5e30
candidate-off,arb,4,q13,1,1.0,2,0.0,-4.695961541800018e-34,0.0,-5.148675316729084e-31,0.0,-1.219649408740269e-30,0.0,1.0380265270379173e-34,0.0,2.5720155788138102e-30,0.0,-8.37967162865166e-31,0.0,-1.048743423506428e-34,True,False,Stable,Arb,2.807087722107068e-295,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.807087722107068e-295}]",0.0,-1.0691058840368783e-47,evaluation/candidate-off-arb-point-00004.json,b6f2f9627ef94845d28c974ddca1db5950c897f07a58fbe8fde472efb0aeed35
candidate-off,arb,5,q13,1,0.1,2,-0.0,-2.8621480915545207e-33,0.0,-4.972203637811432e-28,0.0,-1.233464155383385e-27,0.0,1.0532831853041909e-32,0.0,2.5740394289759132e-27,0.0,-8.433577611420966e-28,0.0,-1.0543649233031462e-32,True,False,Stable,Arb,1.268005986536856e-292,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.268005986536856e-292}]",0.0,6.077653129572846e-44,evaluation/candidate-off-arb-point-00005.json,8886a3e8e615e2367d9e90ef207ade7c928acbd2b9993d35ba69f4f1c4c8da56
candidate-off,arb,6,q13,1,0.01,2,0.0,-2.6669855729592395e-32,0.0,-4.955526257392402e-25,0.0,-1.2347950551663357e-24,0.0,1.0548213034268382e-30,0.0,2.5742480953314318e-24,0.0,-8.439004409874368e-25,0.0,-1.0549295783114582e-30,True,False,Stable,Arb,7.914946490388992e-289,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":7.914946490388992e-289}]",0.0,-7.614545831316318e-41,evaluation/candidate-off-arb-point-00006.json,b26deaeb9cfd7b44623d6a3c42c4d1aea3d6689be1aae121d826e7fa11c454b3
candidate-off,arb,7,q13,1,0.001,2,5e-324,-2.647336546907633e-31,1e-323,-4.95386770068927e-22,5e-324,-1.2349275095249766e-21,0.0,1.0549752405284374e-28,5e-324,2.5742690247554622e-21,-1e-323,-8.439547454252093e-22,0.0,-1.0549860690283521e-28,True,False,Stable,Arb,5.794859587288155e-287,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":5.794859587288155e-287}]",5e-324,1.171488432627976e-37,evaluation/candidate-off-arb-point-00007.json,931452a08a96df06878ab19c98d419c7c4e96f602c3a23ab5235ae086458e3cb
