point,mode,source_batch,result_re,result_im,is_nan,final_precision,final_status,estimated_relative_accuracy,precision_history,primary_cut_weights,evaluation_seconds,raw_output_sha256
off_gap_01,arb_euler,AP48,-7.345541718376047e-42,-3.0496209379143925e-43,False,Arb,"{""Stable"":2}",1.468818033388541e-293,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.468818033388541e-293}]","{""3"":{""re"":-4.289735192893875e-43,""im"":6.178643926048229e-44},""4"":{""re"":4.5170720974690815e-45,""im"":-4.817854732742087e-45},""1"":{""re"":-6.955261374415908e-42,""im"":-3.402782469744645e-43},""0"":{""re"":3.363071568176602e-44,""im"":-2.182374919212943e-44},""5"":{""re"":5.453875500127933e-46,""im"":1.5201744026884792e-46},""2"":{""re"":0.0,""im"":1.9300407145661694e-47}}",2.441314874,6f30ae8f5a980729795d508d89a56499118067c1506c3014cba1d8978602e268
off_gap_05,z_norm,AP48,-2.6233240936895e-40,-6.330775441312547e-36,False,Double,"{""Stable"":2}",0.0,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":0.0}]","{""3"":{""re"":-4.345372245168928e-43,""im"":6.256811568203714e-44},""4"":{""re"":4.578600929917669e-45,""im"":-4.888266270865617e-45},""1"":{""re"":-2.6193699396680083e-40,""im"":-6.330775477076797e-36},""0"":{""re"":3.3988062422739075e-44,""im"":-2.208974694506319e-44},""5"":{""re"":5.5515901505151594e-46,""im"":1.5446101424631784e-46},""2"":{""re"":-1.0886267968175322e-64,""im"":1.9743398215924015e-47}}",0.031782231,8404a1241de4dce49f0c708349e2a9f07dd56958d422140462f6050ee286f6c0
off_gap_05,euler_norm,AP48,-7.393643207928104e-42,-3.0755309307151756e-43,False,Quad,"{""Stable"":2}",9.989318732773929e-13,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.9775655192722923},{""precision"":""Quad"",""status"":{""Stable"":2},""estimated_relative_accuracy"":9.989318732773929e-13}]","{""3"":{""re"":-4.3453722451689104e-43,""im"":6.256811568204114e-44},""4"":{""re"":4.5786009299176645e-45,""im"":-4.8882662708630555e-45},""1"":{""re"":-6.998227805778922e-42,""im"":-3.4331739995009496e-43},""0"":{""re"":3.398806242273902e-44,""im"":-2.2089746945063128e-44},""5"":{""re"":5.551590150517373e-46,""im"":1.5446101424651049e-46},""2"":{""re"":-1.7349701671782298e-81,""im"":1.9743398215924103e-47}}",0.219415735,d273df411ce681bf2f3da04cd4cea1b675a49d0e687e8ff8d97596c2e30d31a6
off_gap_05,euler_strict_quad,AP48,-7.393643207928097e-42,-3.075530928892699e-43,False,Arb,"{""Stable"":2}",1.0171838879957378e-285,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.9775655192722923},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":9.989318732773929e-13},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.0171838879957378e-285}]","{""3"":{""re"":-4.3453722451689104e-43,""im"":6.256811568204114e-44},""4"":{""re"":4.5786009299176645e-45,""im"":-4.8882662708630555e-45},""1"":{""re"":-6.998227805778914e-42,""im"":-3.433173997678473e-43},""0"":{""re"":3.398806242273902e-44,""im"":-2.2089746945063128e-44},""5"":{""re"":5.551590150517373e-46,""im"":1.5446101424651049e-46},""2"":{""re"":-0.0,""im"":1.9743398215924103e-47}}",2.675788497,8d952fdd40b9a2d62554ad581af70788d0da6b4da8f5eef38f938c786bccae22
off_gap_05,arb_euler,AP48,-7.393643207928097e-42,-3.075530928892699e-43,False,Arb,"{""Stable"":2}",1.0171838879957378e-285,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.0171838879957378e-285}]","{""3"":{""re"":-4.3453722451689104e-43,""im"":6.256811568204114e-44},""4"":{""re"":4.5786009299176645e-45,""im"":-4.8882662708630555e-45},""1"":{""re"":-6.998227805778914e-42,""im"":-3.433173997678473e-43},""0"":{""re"":3.398806242273902e-44,""im"":-2.2089746945063128e-44},""5"":{""re"":5.551590150517373e-46,""im"":1.5446101424651049e-46},""2"":{""re"":-0.0,""im"":1.9743398215924103e-47}}",2.477595745,65d438528349668db7b94f7bfbc3f486c710c7b65bb17c8b0389a587355cb88e
off_gap_09,z_norm,AP48,-2.578221793666221e-36,-6.402479135691617e-30,False,Double,"{""Stable"":2}",0.0,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":0.0}]","{""3"":{""re"":-4.345932171980293e-43,""im"":6.257598924058318e-44},""4"":{""re"":4.579220311172948e-45,""im"":-4.888975735413963e-45},""1"":{""re"":-2.5782213981991352e-36,""im"":-6.402479135691654e-30},""0"":{""re"":3.3991653720861823e-44,""im"":-2.2092423398033328e-44},""5"":{""re"":5.552575972683462e-46,""im"":1.5448568143799594e-46},""2"":{""re"":-1.3966785323408894e-64,""im"":1.9747878378076337e-47}}",0.031999591,663e00a40ac179c30e92d0db5f9c381eb96e59082d87c71a9de3c17f4bbc4e4c
off_gap_09,euler_norm,AP48,-7.394125367262187e-42,-3.0757911869976333e-43,False,Arb,"{""Stable"":2}",1.5112483696268985e-275,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":3.862110402889155e-05},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":9.992503414354404e-07},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.5112483696268985e-275}]","{""3"":{""re"":-4.34593217198017e-43,""im"":6.25759892405664e-44},""4"":{""re"":4.5792203111729704e-45,""im"":-4.888975735410039e-45},""1"":{""re"":-6.998658281693474e-42,""im"":-3.433479423667027e-43},""0"":{""re"":3.3991653720861744e-44,""im"":-2.209242339803325e-44},""5"":{""re"":5.552575972685633e-46,""im"":1.5448568143818983e-46},""2"":{""re"":0.0,""im"":1.9747878378076362e-47}}",2.697587862,3b88c22a0979164e9c78dc790900be489a8d1f5c63baeafaf6aadb6fed483806
off_gap_09,euler_strict_quad,AP48,-7.394125367262187e-42,-3.0757911869976333e-43,False,Arb,"{""Stable"":2}",1.5112483696268985e-275,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":3.862110402889155e-05},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":9.992503414354404e-07},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.5112483696268985e-275}]","{""3"":{""re"":-4.34593217198017e-43,""im"":6.25759892405664e-44},""4"":{""re"":4.5792203111729704e-45,""im"":-4.888975735410039e-45},""1"":{""re"":-6.998658281693474e-42,""im"":-3.433479423667027e-43},""0"":{""re"":3.3991653720861744e-44,""im"":-2.209242339803325e-44},""5"":{""re"":5.552575972685633e-46,""im"":1.5448568143818983e-46},""2"":{""re"":0.0,""im"":1.9747878378076362e-47}}",2.692138188,5041f74cc53b369c176a22182a7532fa092136393e4389600a8d149a501ced88
off_gap_09,arb_euler,AP48,-7.394125367262187e-42,-3.0757911869976333e-43,False,Arb,"{""Stable"":2}",1.5112483696268985e-275,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.5112483696268985e-275}]","{""3"":{""re"":-4.34593217198017e-43,""im"":6.25759892405664e-44},""4"":{""re"":4.5792203111729704e-45,""im"":-4.888975735410039e-45},""1"":{""re"":-6.998658281693474e-42,""im"":-3.433479423667027e-43},""0"":{""re"":3.3991653720861744e-44,""im"":-2.209242339803325e-44},""5"":{""re"":5.552575972685633e-46,""im"":1.5448568143818983e-46},""2"":{""re"":0.0,""im"":1.9747878378076362e-47}}",2.496887794,4599fc925c5b6ec60c141b6ea64405ea3c7aa662a3295d00c1d530f497213e37
off_gap_01,euler_components,AP6_components,-7.345541718376047e-42,-3.0496209379143905e-43,False,Quad,"{""Stable"":2}",1.7426548183866344e-15,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.5285315530211336},{""precision"":""Quad"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.7426548183866344e-15}]","{""3"":{""re"":-4.289735192893875e-43,""im"":6.178643926048229e-44},""4"":{""re"":4.5170720974690815e-45,""im"":-4.817854732742087e-45},""1"":{""re"":-6.955261374415908e-42,""im"":-3.402782469744638e-43},""0"":{""re"":3.363071568176602e-44,""im"":-2.182374919212943e-44},""5"":{""re"":5.453875500127933e-46,""im"":1.5201744026884792e-46},""2"":{""re"":-2.0457456371057073e-80,""im"":1.9300407145661694e-47}}",0.260663835,21a7e530b2b15a10c445931389b8412d2cff3c04ef855aa68b7bdd866772fdda
