graph,returncode,timed_out,result_emitted,neval,duration_s,max_hwm_gib,avg_total_time_s,avg_integrand_time_s,avg_evaluator_time_s,nan_or_unstable_percent,result_re,error_re,rel_error_re_percent,max_weight_impact_re,result_im,error_im,rel_error_im_percent,max_weight_impact_im,max_weight_re_plus,max_weight_re_minus,max_weight_im_plus,max_weight_im_minus
GL018,0,False,True,20,41.185,10.358,0.000295995,0.00017328,0.000142164,0.0,-0.00044170337428648006,0.000724597608946599,164.04620184690717,1.5125479930186942,0.005977616774815387,0.006472924301131051,108.28603680989505,1.0764036866412006,0.004972579822191021,-0.013361951045732012,0.1286865746747913,-0.008699809150712858
GL020,0,False,True,20,35.507,10.258,0.00042561,0.000316229,0.000271783,0.0,0.00047568045288143236,0.0027423276226561794,576.5062671893581,4.445555283391718,0.0067730300173853165,0.0053129691072654715,78.44301728514276,0.7593409149037763,0.042293275010264336,-0.03276493136134351,0.10286077620144211,-2.4260500749769973e-05
GL022,0,False,True,20,44.582,10.288,0.000772253,0.000641499,0.000583283,0.0,0.0008748380075477416,0.0006750181156355747,77.15921231265636,0.7438331600083917,-0.005456017400380067,0.005120500658617405,93.85051921316654,0.9398268294633622,0.013014670392993638,-4.714452864375139e-06,4.296402553340779e-06,-0.10255423069792267
GL023,0,False,True,20,38.523,10.19,0.000664527,0.000535538,0.000478218,0.0,0.0010980714042286344,0.001085977252004411,98.89860056662533,0.9894719303551659,0.0005924056942358585,0.0005510207996330345,93.0140957446052,0.9310212597141366,0.02173021664019829,-3.857923986132558e-05,0.011030845914185934,-3.918390696599665e-05
GL024,0,False,True,20,37.681,9.926,0.000415827,0.000306196,0.000268544,0.0,0.018540181730020262,0.01864414785369239,100.56076108198975,1.0053133004270391,0.044857372409820934,0.04464548927721399,99.52765148464078,0.9955025647884026,0.3727738257104752,-0.002010229844033107,0.8931125856729053,-9.59478081999118e-05
GL026,0,False,True,20,18.997,2.898,0.000204047,0.000111352,8.548e-05,0.0,1.7497965075062927e-05,1.2096684161550049e-05,69.13194825602626,0.6068215159054009,-2.4029753788577418e-05,3.2561883416563035e-05,135.5065212197113,1.3174664280109538,0.00021236283384218894,-1.1427613283694395e-05,0.0001147080982510803,-0.0006331678777963955
GL027,0,False,True,20,36.96,9.472,0.000295299,0.000192023,0.000160381,0.0,0.00021806217402233242,0.0001587561659530614,72.80316573235791,0.6651931122517251,1.0472122493143452e-05,5.570616055223603e-05,531.9471825192003,4.147336104587664,0.0029010691240458513,-6.796500909008021e-06,0.0008686282341495685,-0.0006533180817202008
GL029,0,False,True,20,32.695,8.165,0.000297705,0.000194749,0.000162716,0.0,-2.3072669837897414e-05,5.209152155241422e-05,225.7715380075029,1.4127103869977746,-0.00012231759696840373,9.046025152723212e-05,73.9552229354205,0.6772044430168925,0.00050948415201565,-0.0006519000067153588,0.0002761023978175571,-0.001656680402523052
GL031,0,False,True,20,32.415,8.346,0.000338295,0.000214272,0.000169459,0.0,-6.037147597194193e-05,9.036658283313493e-05,149.6842364349903,1.0538572522299008,0.00031759078608912606,0.0001693459349057754,53.32205540064111,0.46203929294470203,0.0009558769910903029,-0.0012724583556170841,0.0029347884450074383,-7.954278963250484e-05
GL033,0,False,True,20,31.395,8.31,0.000304621,0.000197418,0.000164547,0.0,0.0002555152814281695,0.00038798809814080226,151.845359687371,1.441277208312434,0.00010117899391380446,0.0001429400108772303,141.27439436589233,1.348141304579747,0.007365367029959161,-0.001865703629571738,0.0027280716170204524,-0.0004422919845943169
GL035,0,False,True,20,33.444,8.317,0.000303953,0.000182113,0.000145125,0.0,0.00011764384476940146,9.16925191508624e-05,77.94077057800403,0.7776534357907552,0.00025676772430883326,0.0002426792134692243,94.51313015390373,0.9439923556756492,0.001829722801691186,-5.4574803898537646e-05,0.004847735378635423,-0.00016427410043231593
GL037,0,False,True,20,37.266,9.433,0.000346554,0.000219062,0.000183731,0.0,-4.732674038722282e-05,0.00027401040910918716,578.9758746688668,4.1130421385124265,7.550990882698758e-05,6.018229508678523e-05,79.70118891903071,0.711778047572652,0.0038931375498217073,-0.003221133794171921,0.0010749259095452436,-0.00014278465916408269
